code,name,credit,description
NUR 360,Information Management/Patient Care Technologies,3,"Online Emphasizes the use of technology and information systems for clinical decision-making. Emphasizes skills necessary to 
use information management and patient care technologies safely and effectively. Explores quality improvement 
information systems that monitor patient outcomes, required regulatory reporting, and ethical and legal issues related 
to the use of IT, including copyright, privacy, and confidentiality."
NUR 422,Spiritual Dimensions of Health Care,3,"Online Examines the increasing emphasis on spiritual well-being and healing environments as elements of health care. 
Explores techniques and emphases from a Christian perspective. Students complete a spiritual assessment and care 
plan using the nursing process."
NUR 424,Medical Surgical Theory/Clinical III,6,"Spring Focuses on care for clients and families across the life-span who are experiencing major and life-threatening 
disturbances in wholeness. Explores application of crisis theory, adaptation theory, and principles of critical care 
within the context of the nursing process. Clinical includes direct care to clients with complex wholeness needs and 
observational experiences in a variety of settings. ""B-"" or better required.  
Prerequisite: ""B-"" in
NUR 326, Medical Surgical Theory/Clinical II 
Corequisite: NUR 424L "


NUR 425, Nursing Leadership and Transition,5,"Spring Explores the nurse’s role as leader and manager in client care, the nursing care delivery system, and the health care 
system. Students are expected to assess their own philosophies of leadership and nursing care management. 
Designed to help students prepare for the transition into professional nursing practice. ""B-"" or better required."
NUR 426,Evidence-based Practice,4,"Fall Online Designed to guide students to identify practice issues, appraise and integrate evidence and evaluate outcomes. 
Students learn the value of EBP, models for applying evidence, and the basic difference between qualitative and 
quantitative research methods. Explores rights of human subjects and the nurse's advocacy role in research studies. 
Library databases are used to collect strong evidence for EBP decisions. Students learn to identify the necessary 
components of good research and critically appraise research articles. ""B-"" or better required. 
Prerequisite:"
HES 351,"Statistics 
 
NUR 434 Quality Leadership",3,"Online Focuses on the professional nurse’s role in applying the principles of leadership and management to navigate systems 
in health care organizations across the continuum of care. Explores the nurse leader’s role in quality and safety, the 
regulatory environment, policy, and advocacy for EBP. Provides opportunities to improve critical reasoning, 
interdisciplinary communication techniques, and conflict resolution. Practical application of change management and 
conflict resolution theories."
NUR 442,Patient-centered Care II,3,"Online Investigates evidence-based health techniques for disease prevention, health promotion, and self-management of 
chronic conditions. Explores adult assessment and health history interview techniques through simulation. The 
assessment findings are used to formulate a holistic, culturally sensitive health promotion plan and apply a theorist as 
a basis for care. Focuses on effective communication in facilitating client movement toward health and wellness."
NUR 443,NCLEX Review,3,"Spring Taken in the last semester before graduation. Designed to provide senior nursing students the opportunity to review 
theoretical and clinical material in preparation for the NCLEX. Students will learn critical thinking skills and appropriate 
testing strategies to enable them to successfully pass the NCLEX. ""B-"" or better required."
NUR 494,Senior Nursing Project,2,"Online Provides students with the practical experience of applying and integrating the concepts and theories learned so far in 
the program. Students assess and identify a patient safety or care process problem, a practice discrepancy, or an 
educational need supported by research. Students develop a research question and complete a comprehensive 
literature review, scholarly paper, and present findings in a poster presentation. ""C+"" or better required. 
 
ORM (Organizational Management)"
